Shipment_ID,Product_Category,Product_Type,Destination_Type,Transport_Mode,Recommended_Transport,Route_Risk,Refrigeration_Status,Packaging_Type,Coolant_Type,Packaging_Condition,Data_Logger_Status,Storage_Facility,Distance_KM,Duration_Hours,Chain_Handoff_Count,Ambient_Temperature_C,Humidity_Pct,Door_Open_Count,Vehicle_Age_Years,Battery_Level_Pct,Shock_Events,Avg_Temperature_C,Max_Temperature_C,Min_Temperature_C,Current_Temperature_C,Required_Temp_Min_C,Required_Temp_Max_C,Temperature_Deviation_C,Product_Temperature_Deviation_C,Temperature_Excursion_Minutes,Shipment_Start_Date,Shipment_Status,Risk_Probability,Risk_Score,AI_Prediction,Rescue_Priority_Score,Priority_Level,Estimated_Value_INR,Value_At_Risk_INR,Destination_Name
CC100970,Medical,Platelet Concentrates,Hospital,Refrigerated Truck,Refrigerated Truck,Low,Normal,Refrigerated Compartment,Gel Packs,Good,Active,Distribution Center,218.8,5.4,0,38.41,39.04,5,3.9,88.5,0,4.88,5.97,3.8,5.35,20,24,0.0,16.2,0.0,2026-06-06,AT_RISK,0.9835769443019716,98.4,AT_RISK,71.5,HIGH,100000.0,98358.0,Apollo Hospital
CC106279,Medical,Cell Therapy Samples,Specialized Lab,Reefer Container,Reefer Container,Medium,Normal,Refrigerated Compartment,Mechanical Refrigeration,Good,Active,Transplant Center,443.6,6.18,2,21.64,62.43,2,2.6,79.4,1,6.39,7.79,5.0,5.79,-90,-60,0.0,67.79,0.0,2026-04-07,AT_RISK,0.9999647173432874,100.0,AT_RISK,78.0,HIGH,800000.0,799972.0,Metropolis Specialized Lab
CC101859,Medical,Biologics,Hospital,Refrigerated Truck,Refrigerated Truck,Medium,Normal,Validated Thermal Shipper,Mechanical Refrigeration,Good,Active,Distribution Center,798.0,7.84,2,26.4,78.38,7,6.9,53.4,0,5.76,6.49,5.04,6.1,2,8,0.0,0.0,0.0,2026-01-01,SAFE,0.3767273135598497,37.7,SAFE,48.1,MEDIUM,350000.0,131855.0,Tata Memorial Hospital
CC106803,Medical,Temperature-Sensitive Medicines,Pharmacy,Refrigerated Truck,Refrigerated Truck,Low,Normal,Insulated Box,Phase-Change Material,Good,Active,Distribution Center,586.7,1.0,2,22.06,72.41,5,6.6,37.2,0,4.72,5.32,4.11,4.86,2,8,0.0,0.0,0.0,2026-02-14,SAFE,0.3290780508169193,32.9,SAFE,32.2,LOW,100000.0,32908.0,MedPlus Pharmacy
CC106305,Medical,Diagnostic Reagents,Laboratory,Refrigerated Truck,Refrigerated Truck,Low,Intermittent,Refrigerated Compartment,Phase-Change Material,Good,Active,Laboratory,1465.8,16.91,2,32.8,,6,8.5,77.0,0,6.48,7.81,5.14,6.0,2,8,0.0,0.0,0.0,2026-04-11,SAFE,0.4325035051419466,43.3,SAFE,55.0,MEDIUM,100000.0,43250.0,Metropolis Healthcare Lab
CC103039,Medical,Antisera,Laboratory,Air Cargo,Refrigerated Truck,Medium,Intermittent,Refrigerated Compartment,Dry Ice,Good,Active,Laboratory,809.6,10.45,3,31.86,68.04,3,1.3,81.7,1,2.98,4.91,1.05,2.91,2,8,0.0,0.95,0.0,2026-05-12,AT_RISK,0.6699617573274274,67.0,AT_RISK,74.7,HIGH,100000.0,66996.0,Thyrocare Laboratory
CC107194,Medical,Enzyme Preparations,Laboratory,Reefer Container,Refrigerated Truck,Low,Normal,Dry Ice Container,Mechanical Refrigeration,Good,Active,Transplant Center,987.7,18.43,3,29.5,63.91,8,3.3,77.4,0,-15.31,-13.85,-16.77,-16.38,2,8,1.15,18.77,16.0,2026-06-23,AT_RISK,0.452456914329804,45.2,SAFE,44.1,MEDIUM,120000.0,54295.0,Apollo Diagnostics
CC101446,Medical,Platelet Concentrates,Hospital,Refrigerated Truck,Refrigerated Truck,Medium,Normal,Insulated Box,Phase-Change Material,Good,Active,Distribution Center,732.5,19.57,4,27.61,68.89,7,8.1,,0,6.26,7.62,4.91,7.62,20,24,0.0,15.09,0.0,2026-03-17,AT_RISK,0.9811112257071276,98.1,AT_RISK,84.4,CRITICAL,100000.0,98111.0,Hiranandani Hospital
CC105199,Medical,Gene Therapy Samples,Specialized Lab,Refrigerated Truck,Reefer Container,Medium,Normal,Validated Thermal Shipper,Mechanical Refrigeration,Good,Active,Blood Bank,988.5,16.53,4,34.82,48.92,4,2.6,83.0,0,4.69,6.14,3.24,3.22,-90,-60,0.0,66.14,0.0,2026-03-19,AT_RISK,0.9996997590407484,100.0,AT_RISK,81.0,CRITICAL,100000.0,99970.0,Apollo Specialized Lab
CC106234,Medical,Laboratory Samples,Laboratory,Reefer Container,Refrigerated Truck,Medium,Normal,Refrigerated Compartment,Mechanical Refrigeration,Good,Active,Specialized Lab,1246.2,24.17,1,30.92,62.26,5,4.1,82.3,0,6.7,7.8,5.6,7.18,2,8,0.0,0.0,0.0,2026-01-29,SAFE,0.3363011916507716,33.6,SAFE,42.7,MEDIUM,100000.0,33630.0,Apollo Diagnostics
